"","Full.Name","GICS.Sector","GICS.Sub.Industry","environmentScore","socialScore","governanceScore","totalEsg","highestControversy","percentile","ratingYear","ratingMonth","marketCap","beta","overallRisk","avg_price","total_return","avg_log_return","volatility","max_drawdown"
"MMC","Marsh McLennan","Financials","Insurance Brokers",0.09,11.31,9.67,21.07,"2",32.16,2023,9,113679212544,0.937,"1",192.20181785474,37.0707316322023,0.000756179606462175,16.3339922184033,-32.2755019334216
"MMM","3M","Industrials","Industrial Conglomerates",17.22,13.59,6.54,37.35,"5",88.51,2023,9,73377218560,0.995,"9",90.7699105477219,31.5336347500385,0.000657295948419799,12.5387857362533,-46.8617523601332
"MNST","Monster Beverage","Consumer Staples","Soft Drinks & Non-alcoholic Beverages",12.07,12.04,5.11,29.23,"2",65.85,2023,9,50022043648,0.737,"9",54.1954785214657,-6.96801971956026,-0.000173205942356641,3.49426791454975,-26.0312252256251
"MO","Altria","Consumer Staples","Tobacco",6.1,17.64,7.58,31.32,"3",73.6,2023,9,86164111360,0.687,"2",44.4082296453595,18.1239013994626,0.000399433811656013,2.86852489340998,-26.9853115356175
"MOS","Mosaic Company (The)","Materials","Fertilizers & Agricultural Chemicals",13.87,11.05,8.6,33.52,"2",79.8,2023,9,8173065216,1.363,"3",36.1808850776636,-32.9814708445013,-0.000959714748852774,6.79428297195099,-53.5876780870808
"MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing",17.09,8.15,5.25,30.49,"3",70.7,2023,9,54844665856,1.364,"6",150.193780214593,59.6826523990842,0.00112234589245279,26.4028687313768,-52.1243091660525
"MRK","Merck & Co.","Health Care","Pharmaceuticals",1.85,10.64,8.9,21.39,"3",33.51,2023,9,299842699264,0.401,"4",114.785406432083,6.57728774405104,0.000152758375253369,9.29816196016468,-24.6540348627048
"MRO","Marathon Oil","Energy","Oil & Gas Exploration & Production",21.07,9.05,7.6,37.72,"2",89.03,2023,9,15304718336,2.169,"5",25.713899516603,11.7394707509122,0.000266186622537454,2.04067179696559,-28.595485410582
"MS","Morgan Stanley","Financials","Investment Banking & Brokerage",1.14,12.91,10.53,24.58,"2",47.11,2023,9,161931493376,1.357,"9",89.4915072062369,20.8702743057447,0.00045455077052411,7.49453852503196,-34.1810002538614
"MSCI","MSCI","Financials","Financial Exchanges & Data",1.57,6.97,7.74,16.27,"1",14.86,2023,9,44539666432,1.111,"4",520.689138969166,25.8977409673336,0.000552277726211064,34.060442126901,-26.1955967219383
"MSFT","Microsoft","Information Technology","Systems Software",1.46,7.53,6.07,15.06,"3",11.36,2023,9,3234487336960,0.896,"1",355.648660431638,74.1130359213342,0.00132981902647216,61.2406457411151,-52.4531613655135
"MSI","Motorola Solutions","Information Technology","Communications Equipment",2.26,5.07,5.8,13.13,"1",6.98,2023,9,73940533248,0.977,"2",315.295071104497,71.7327191245747,0.00129680844988343,45.1206265550767,-42.9372906032938
"MTB","M&T Bank","Financials","Regional Banks",2.63,10.32,13.58,26.53,"1",55.08,2023,9,29028114432,0.744,"8",137.454808467883,18.7211141347308,0.000411527525047927,14.8631095668411,-37.7129752755263
"MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services",1,7.41,4.69,13.1,"0",6.93,2023,9,29563645952,1.139,"5",1312.40691262569,-1.55896482851562,-3.76797236446415e-05,155.318883024854,-39.8138824511261
"MU","Micron Technology","Information Technology","Semiconductors",7.23,5.46,5.49,18.18,"2",21.15,2023,9,98387369984,1.176,"1",83.3210765437076,91.0661105907798,0.00155263623721185,24.8706324328084,-67.1749756053275
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines",8.97,10.9,6.08,25.94,"2",52.93,2023,9,8688294912,2.712,"5",16.8434928706959,50.8431695407029,0.000985780572618929,2.39082867010735,-47.3357041936091
"NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data",0.03,5.63,7.43,13.09,"1",6.89,2023,9,42128486400,0.962,"3",56.7250717747154,16.7098506962286,0.000370553381688007,5.24364028171459,-34.4478374032963
"NDSN","Nordson Corporation","Industrials","Industrial Machinery & Supplies & Components",8.18,11.61,5.1,24.89,"1",48.54,2023,9,14591575040,0.902,"8",239.363899376974,7.78473254393368,0.000179774184291065,17.6322441413544,-26.8457120884575
"NEE","NextEra Energy","Utilities","Multi-Utilities",9.38,8.3,5.6,23.27,"2",41.38,2023,9,174643085312,0.551,"4",68.8755980861244,-3.96039558905787,-9.69053564667262e-05,8.50301098161399,-42.4772557456932
"NEM","Newmont","Materials","Gold",7.05,8.24,5.22,20.52,"3",29.93,2023,9,60940009472,0.513,"6",42.1304784528376,7.68454501388771,0.000177544094824434,5.47125681920312,-45.7977844842157
"NFLX","Netflix","Communication Services","Movies & Entertainment",0.09,7.31,9.01,16.41,"2",15.33,2023,9,303381020672,1.262,"9",478.966459721469,137.786047316264,0.00207722091731347,121.631926554382,-58.2576431230299
"NI","NiSource","Utilities","Multi-Utilities",11.98,9.17,4.87,26.02,"3",53.23,2023,9,15419760640,0.504,"2",27.4738277453555,20.4810522224955,0.000446816094992338,1.64948777199545,-29.8850594606969
"NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods",2.98,9.99,6.65,19.61,"3",26.58,2023,9,120908390400,1.014,"9",104.179999921881,-29.8357897306743,-0.000849716619147899,14.5143139416933,-45.1042499321308
"NOC","Northrop Grumman","Industrials","Aerospace & Defense",7.79,14.37,5.37,27.53,"2",59.19,2023,9,76233113600,0.337,"4",458.941890150736,-3.16843310119876,-7.72113682003837e-05,20.8452940303379,-22.2567701149257
"NOW","ServiceNow","Information Technology","Systems Software",3.99,6.04,6.57,16.59,"0",15.89,2023,9,183719378944,0.987,"5",624.544449728642,121.789883268482,0.00191021648904886,130.219562621609,-57.1555546989218
"NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders",16.8,9.5,5.69,31.97,"2",75.48,2023,9,16782821376,1.085,"9",50.5503347980919,166.23865118614,0.00234825636804339,17.8881572640744,-64.16279105253
"NSC","Norfolk Southern Railway","Industrials","Rail Transportation",8.02,10.48,5.42,23.92,"3",44.15,2023,9,55861764096,1.307,"10",225.79858854741,3.41542463387068,8.05370248672658e-05,18.7170892981742,-29.8711681089053
"NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals",2.19,7.74,5.5,15.43,"1",12.46,2023,9,24377368576,1.219,"2",87.2205741553786,98.5852926510947,0.00164520025839406,21.4681403345555,-54.85069010262
"NTRS","Northern Trust","Financials","Asset Management & Custody Banks",1.87,11.83,10.17,23.86,"2",43.85,2023,9,18278486016,1.096,"5",81.3733013280841,1.5927827184439,3.78952287705255e-05,7.80706816949653,-36.5593557291111
"NUE","Nucor","Materials","Steel",9.3,14.72,8.8,32.82,"2",77.92,2023,9,33929832448,1.563,"7",163.077463797975,15.9087490400678,0.000354036089552701,15.2402525529036,-34.7862881213475
"NVDA","Nvidia","Information Technology","Semiconductors",2.3,4.95,6.34,13.59,"2",7.86,2023,9,2835422642176,1.673,"8",60.2677057211479,733.880588513337,0.00508613915318687,33.674647826464,-89.4785365461949
"NVR","NVR, Inc.","Consumer Discretionary","Homebuilding",7.21,7.82,5.24,20.27,"1",28.96,2023,9,29192695808,1.187,"9",6618.60124943929,99.8653463315546,0.00166060835844318,1079.09125326298,-50.7650775590939
"NWSA","News Corp (Class A)","Communication Services","Publishing",0.02,4.74,6.72,11.47,"2",4.24,2023,9,15057525760,1.358,"10",22.221124402644,54.8087492065742,0.0010480102949465,3.61109128554895,-45.1476790136191
"NXPI","NXP Semiconductors","Information Technology","Semiconductors",8.58,5.45,5.81,19.84,"1",27.41,2023,9,59243253760,1.497,"2",214.098588496304,65.3402001327185,0.00120583929080828,34.001002532616,-47.2075125004211
"O","Realty Income","Real Estate","Retail REITs",4.41,5.32,5.74,15.47,"2",12.57,2023,9,54585954304,0.992,"5",57.3151196749016,-2.64890070049921,-6.43792853580075e-05,4.90705863774568,-32.3279660973403
"OKE","ONEOK","Energy","Oil & Gas Storage & Transportation",10.83,11.01,3.31,25.15,"1",49.57,2023,9,55288446976,1.634,"5",70.5628468727951,44.4479239819236,0.000881891772040302,7.89438744144548,-38.739712584288
"OMC","Omnicom Group","Communication Services","Advertising",0.09,9.33,6.86,16.28,"1",14.89,2023,9,19903373312,0.964,"1",88.1983254355107,21.6890849274667,0.000470741298873786,6.63417140643799,-27.8402857706968
"ON","ON Semiconductor","Information Technology","Semiconductors",11.79,5.69,4.95,22.43,"1",37.75,2023,9,30593183744,1.656,"2",79.5279185555198,26.3918227157078,0.00056167050342229,10.1337065160363,-44.7312390577581
"ORCL","Oracle Corporation","Information Technology","Application Software",0.5,7.79,5.6,13.89,"2",8.51,2023,9,464054353920,1,"10",112.216076225755,68.7649202412974,0.00125500373165656,15.5891335793811,-42.7842487379383
"ORLY","O'Reilly Auto Parts","Consumer Discretionary","Automotive Retail",0.14,8.15,3.76,12.05,"1",5.1,2023,9,65588211712,0.924,"9",966.457895379317,34.4050349794938,0.000709083223127804,92.0242061788125,-33.948595448583
"OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production",24.98,9.7,6.97,41.66,"2",93.23,2023,9,47697215488,1.605,"2",61.4265071284828,-6.6666662501013,-0.00016545052044065,3.00095419172477,-19.7949790301813
"PANW","Palo Alto Networks","Information Technology","Systems Software",0.7,7.62,5.6,13.92,"1",8.57,2023,9,112693567488,1.132,"10",258.286841871636,161.986283290639,0.00230964499412464,58.789458421082,-64.3963903914889
"PARA","Paramount Global","Communication Services","Movies & Entertainment",0.11,7.51,7.37,14.99,"3",11.14,2023,9,7424509952,1.77,"10",14.8779425803554,-38.6643207134713,-0.0011722025624504,3.88995267310548,-61.9405954191
"PAYX","Paychex","Industrials","Human Resource & Employment Services",3.21,7.16,6.36,16.73,"1",16.37,2023,9,48633491456,0.993,"4",118.319497578452,13.2890076108169,0.0002992133264616,5.92407209483559,-20.0228637607589
"PCAR","Paccar","Industrials","Construction Machinery & Heavy Transportation Equipment",8.36,10.99,8.3,27.64,"3",59.68,2023,9,51368513536,0.901,"5",90.5898246582615,46.5711616572365,0.000916884579457219,15.2893341106453,-47.6244023176048
"PCG","PG&E Corporation","Utilities","Multi-Utilities",9.58,15.38,5.42,30.38,"4",70.35,2023,9,52330303488,1.017,"4",17.0022727359425,25.6377575224709,0.00054732047982453,0.871886128485095,-22.9441638716426
"PEG","Public Service Enterprise Group","Utilities","Electric Utilities",12.48,9.28,5.46,27.23,"2",57.89,2023,9,42229178368,0.623,"3",64.6011961247932,30.1369879014769,0.000631696553351816,6.15956177957297,-32.5730511463845
"PEP","PepsiCo","Consumer Staples","Soft Drinks & Non-alcoholic Beverages",7.27,9.63,5.16,22.06,"3",36.32,2023,9,242943328256,0.541,"5",174.49935402026,-3.63970717686128,-8.89111976035489e-05,8.21120303093103,-19.3962850465108
"PFE","Pfizer","Health Care","Pharmaceuticals",2.12,12.85,9.63,24.59,"3",47.15,2023,9,169037660160,0.617,"7",33.3324401709452,-43.4061623511693,-0.00136515607234694,5.96307925524491,-50.7218083183771
"PFG","Principal Financial Group","Financials","Life & Health Insurance",0.81,5.82,7.56,14.19,"1",9.21,2023,9,19411369984,1.192,"7",78.25098099777,-2.80529851771888,-6.82349820303823e-05,5.98793992983673,-29.9068427965657
"PG","Procter & Gamble","Consumer Staples","Personal Care Products",9.6,12.23,6.74,28.57,"3",63.39,2023,9,413267034112,0.407,"4",154.076124638462,13.1754205957099,0.000296807730593701,8.62376560442813,-20.3859084356983
"PGR","Progressive Corporation","Financials","Property & Casualty Insurance",1.45,8.5,10.07,20.02,"2",28.02,2023,9,150497378304,0.353,"3",165.84205751556,93.7913002390122,0.00158659861403693,34.8105259481191,-54.48850112284
"PH","Parker Hannifin","Industrials","Industrial Machinery & Supplies & Components",9.46,13.78,6.24,29.48,"2",66.96,2023,9,77822435328,1.431,"6",435.752966775849,105.717024992281,0.00172981144693689,87.1629221251223,-51.3895361826507
"PHM","PulteGroup","Consumer Discretionary","Homebuilding",9.19,7.31,4.92,21.42,"2",33.61,2023,9,29148821504,1.627,"5",88.5473444359154,184.956692039908,0.0025111919064247,23.7383937067841,-65.8107014774365
"PKG","Packaging Corporation of America","Materials","Paper & Plastic Packaging Products & Materials",13.96,1.06,3.62,18.64,"1",22.83,2023,9,19272724480,0.786,"6",158.77928229154,62.3585907717074,0.00116219958343639,21.9041007443866,-40.8084362158348
"PLD","Prologis","Real Estate","Industrial REITs",2.74,2.5,5.03,10.27,"1",2.96,2023,9,119701798912,1.083,"8",120.659904461728,13.4262107779125,0.000302115861404158,8.64764976722847,-29.0256686403386
"PM","Philip Morris International","Consumer Staples","Tobacco",3.42,13.54,11.49,28.45,"3",62.86,2023,9,191598002176,0.578,"5",97.4169139223236,21.7077958551828,0.000471109999821788,6.9243016273085,-29.0534507493162
"PNC","PNC Financial Services","Financials","Regional Banks",1.94,13.29,10.83,26.07,"3",53.42,2023,9,72141553664,1.128,"2",142.46980818607,16.0293326106963,0.00035652959349234,18.61088888368,-40.7261325543538
"PNR","Pentair","Industrials","Industrial Machinery & Supplies & Components",5.97,10.01,6.07,22.06,"1",36.3,2023,9,15541917696,1.191,"5",68.189186570747,96.2168162486521,0.00161642701966042,10.9067992308096,-49.0359685210278
"PNW","Pinnacle West","Utilities","Multi-Utilities",14.72,10.23,5.84,30.79,"1",71.78,2023,9,10374980608,0.516,"5",76.5086123452803,17.2718743990817,0.000382073779320961,4.57524563226148,-24.7534887638297
"PPG","PPG Industries","Materials","Specialty Chemicals",10.98,7.7,6.54,25.21,"2",49.85,2023,9,29736417280,1.25,"6",135.301363402006,2.27846063788092,5.40261723049637e-05,7.61276953324891,-21.9885269840727
"PPL","PPL Corporation","Utilities","Electric Utilities",17.08,8.9,5.33,31.32,"2",73.57,2023,9,24110428160,0.835,"2",27.2587320199994,9.28081853995079,0.000212831415122382,1.76040354318413,-29.3324997026305
"PRU","Prudential Financial","Financials","Life & Health Insurance",0.64,10.01,9.25,19.91,"1",27.67,2023,9,42368761856,1.286,"4",100.832368440035,21.7933248628753,0.000472794637180874,12.4138240912848,-39.3418131149484
"PSA","Public Storage","Real Estate","Self-Storage REITs",4.74,2.61,5.7,13.05,"1",6.78,2023,9,63529824256,0.67,"6",285.128803745982,25.3629040785456,0.000542068531659215,17.4313932053676,-30.7605013825337
"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing",20.76,8.82,5.85,35.43,"3",84.49,2023,9,53702402048,1.322,"7",122.251100531035,38.8795399919832,0.000787618111867518,20.5544154493328,-47.4205349843794
"PTC","PTC","Information Technology","Application Software",4.92,8.61,5.37,18.9,"0",23.78,2023,9,21107718144,1.177,"5",155.030741732657,49.6782231959734,0.000967188549695405,22.0781404274121,-38.3382370276636
"PWR","Quanta Services","Industrials","Construction & Engineering",12.15,15.73,9.04,36.91,"2",87.83,2023,9,40356634624,1.009,"4",206.32473696476,95.6688739695217,0.00160972092576209,40.650542457078,-52.1680800100437
